FrameNumber,CocaineLeverPress,SucrosePump,SucroseLeverCue,SucroseLeverPress,CocaineLeverCue,CocainePump,Licks,TrueSucrosePresses,FalseSucrosePresses,TrueCocainePresses,FalseCocainePresses,DeliberatePress,non_deliberatePress,timeData,Trial,trialClass
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,69.226391724969,1,1
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2933418136779,1,1
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3602919023868,1,1
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4272419910956,1,1
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4941920798045,1,1
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5611421685134,1,1
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6280922572222,1,1
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6950423459311,1,1
1042,0,0,0,0,0,0,0,0,0,0,0,0,0,69.76199243464,1,1
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8289425233488,1,1
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8958926120577,1,1
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9628427007666,1,1
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0297927894754,1,1
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0967428781843,1,1
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1636929668932,1,1
1049,1,0,0,0,0,0,0,0,0,1,0,1,0,70.230643055602,1,1
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2975931443109,1,1
1051,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3645432330198,1,1
1052,1,0,0,0,0,0,0,0,0,0,0,0,1,70.4314933217287,1,1
1053,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4984434104375,1,1
1054,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5653934991464,1,1
1055,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6323435878552,1,1
1056,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6992936765641,1,1
1057,0,0,0,0,0,0,0,0,0,0,0,0,0,70.766243765273,1,1
1058,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8331938539819,1,1
1059,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9001439426907,1,1
1060,0,0,0,0,0,0,0,0,0,0,0,0,0,70.9670940313996,1,1
1061,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0340441201085,1,1
1062,1,0,0,0,0,0,0,0,0,0,1,0,1,71.1009942088173,1,1
1063,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1679442975262,1,1
1064,0,0,0,0,1,0,0,0,0,0,0,0,0,71.2348943862351,1,1
1560,0,0,0,0,0,0,1,0,0,0,0,0,0,104.442138385833,2,1
1561,0,0,0,0,0,0,0,0,0,0,0,0,0,104.509088474542,2,1
1562,0,0,0,0,0,0,0,0,0,0,0,0,0,104.576038563251,2,1
1563,0,0,0,0,0,0,0,0,0,0,0,0,0,104.64298865196,2,1
1564,0,0,0,0,0,0,0,0,0,0,0,0,0,104.709938740669,2,1
1565,0,0,0,0,0,0,1,0,0,0,0,0,0,104.776888829378,2,1
1566,0,0,0,0,0,0,0,0,0,0,0,0,0,104.843838918087,2,1
1567,0,0,0,0,0,0,1,0,0,0,0,0,0,104.910789006795,2,1
1568,0,0,0,0,0,0,0,0,0,0,0,0,0,104.977739095504,2,1
1569,0,0,0,0,0,0,0,0,0,0,0,0,0,105.044689184213,2,1
1570,0,0,0,0,0,0,0,0,0,0,0,0,0,105.111639272922,2,1
1571,0,0,0,0,0,0,0,0,0,0,0,0,0,105.178589361631,2,1
1572,0,0,0,0,0,0,0,0,0,0,0,0,0,105.24553945034,2,1
1573,0,0,0,0,0,0,0,0,0,0,0,0,0,105.312489539049,2,1
1574,0,0,0,0,0,0,0,0,0,0,0,0,0,105.379439627758,2,1
1575,1,0,0,0,0,0,0,0,0,1,0,0,1,105.446389716466,2,1
1576,0,0,0,0,0,0,0,0,0,0,0,0,0,105.513339805175,2,1
1577,0,0,0,0,0,0,0,0,0,0,0,0,0,105.580289893884,2,1
1578,0,0,0,0,0,0,1,0,0,0,0,0,0,105.647239982593,2,1
1579,0,0,0,0,0,0,0,0,0,0,0,0,0,105.714190071302,2,1
1580,0,0,0,0,0,0,1,0,0,0,0,0,0,105.781140160011,2,1
1581,0,0,0,0,0,0,0,0,0,0,0,0,0,105.84809024872,2,1
1582,0,0,0,0,0,0,0,0,0,0,0,0,0,105.915040337428,2,1
1583,0,0,0,0,0,0,1,0,0,0,0,0,0,105.981990426137,2,1
1584,0,0,0,0,0,0,0,0,0,0,0,0,0,106.048940514846,2,1
1585,0,0,0,0,0,0,0,0,0,0,0,0,0,106.115890603555,2,1
1586,0,0,0,0,0,0,0,0,0,0,0,0,0,106.182840692264,2,1
1587,0,0,0,0,0,0,0,0,0,0,0,0,0,106.249790780973,2,1
1588,0,0,0,0,0,0,0,0,0,0,0,0,0,106.316740869682,2,1
1589,0,0,0,0,0,0,0,0,0,0,0,0,0,106.383690958391,2,1
1590,0,0,0,0,1,0,0,0,0,0,0,0,0,106.450641047099,2,1
2114,0,0,0,0,0,0,0,0,0,0,0,0,0,141.532487530546,3,0
2115,0,0,0,0,0,0,0,0,0,0,0,0,0,141.599437619255,3,0
2116,0,0,0,0,0,0,0,0,0,0,0,0,0,141.666387707964,3,0
2117,0,0,0,0,0,0,0,0,0,0,0,0,0,141.733337796673,3,0
2118,0,0,0,0,0,0,0,0,0,0,0,0,0,141.800287885381,3,0
2119,0,0,0,0,0,0,0,0,0,0,0,0,0,141.86723797409,3,0
2120,0,0,0,0,0,0,1,0,0,0,0,0,0,141.934188062799,3,0
2121,0,0,0,0,0,0,0,0,0,0,0,0,0,142.001138151508,3,0
2122,0,0,0,0,0,0,0,0,0,0,0,0,0,142.068088240217,3,0
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,142.135038328926,3,0
2124,0,0,0,0,0,0,1,0,0,0,0,0,0,142.201988417635,3,0
2125,0,0,0,0,0,0,1,0,0,0,0,0,0,142.268938506344,3,0
2126,0,0,0,0,0,0,0,0,0,0,0,0,0,142.335888595052,3,0
2127,0,0,0,0,0,0,0,0,0,0,0,0,0,142.402838683761,3,0
2128,0,0,0,0,0,0,0,0,0,0,0,0,0,142.46978877247,3,0
2129,0,0,0,1,0,0,0,1,0,0,0,1,0,142.536738861179,3,0
2130,0,0,0,0,0,0,0,0,0,0,0,0,0,142.603688949888,3,0
2131,0,0,0,0,0,0,0,0,0,0,0,0,0,142.670639038597,3,0
2132,0,0,0,0,0,0,0,0,0,0,0,0,0,142.737589127306,3,0
2133,0,0,0,0,0,0,1,0,0,0,0,0,0,142.804539216014,3,0
2134,0,0,0,0,0,0,0,0,0,0,0,0,0,142.871489304723,3,0
2135,0,0,0,0,0,0,1,0,0,0,0,0,0,142.938439393432,3,0
